seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
12868,719115,1,44277487,80,1,0,,0,0,First Half begins.,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-11-27 06:06:18
12868,719115,2,44277635,81,1,2700,45'+3',0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-11-27 06:06:18
12868,719115,3,44277653,82,2,2700,45',0,0,"Second Half begins Esteghlal FC 0, Pakhtakor Tashkent 0.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-11-27 06:06:18
12868,719115,4,44277700,94,2,3395,57',0,0,Saman Fallah (Esteghlal FC) is shown the yellow card for a bad foul.,Saman Fallah Yellow Card,7525,0.0,0.0,0.0,0.0,0.0,0.0,1.0,355161.0,2024-11-28 06:09:52
12868,719115,5,44277732,76,2,3776,63',0,0,"Substitution, Esteghlal FC. Amirali Sadeghi replaces Gustavo Blanco Leschuk.",Amirali Sadeghi Substitution,7525,0.0,0.0,0.0,0.0,0.0,0.0,1.0,354530.0,2024-11-28 06:09:52
12868,719115,5,44277732,76,2,3776,63',0,0,"Substitution, Esteghlal FC. Amirali Sadeghi replaces Gustavo Blanco Leschuk.",Amirali Sadeghi Substitution,7525,0.0,0.0,0.0,0.0,0.0,0.0,2.0,218936.0,2024-11-28 06:09:52
12868,719115,5,44277732,76,2,3776,63',0,0,"Substitution, Esteghlal FC. Amirali Sadeghi replaces Gustavo Blanco Leschuk.",Amirali Sadeghi Substitution,7525,0.0,0.0,0.0,0.0,0.0,0.0,2.0,156880.0,2024-11-28 06:09:52
12868,719115,6,44277731,76,2,3795,64',0,0,"Substitution, Esteghlal FC. Iman Salimi replaces Saman Fallah because of an injury.",Iman Salimi Substitution,7525,0.0,0.0,0.0,0.0,0.0,0.0,1.0,194862.0,2024-11-28 06:09:52
12868,719115,6,44277731,76,2,3795,64',0,0,"Substitution, Esteghlal FC. Iman Salimi replaces Saman Fallah because of an injury.",Iman Salimi Substitution,7525,0.0,0.0,0.0,0.0,0.0,0.0,2.0,355161.0,2024-11-28 06:09:52
12868,719115,7,44277734,76,2,3806,64',0,0,"Substitution, Esteghlal FC. Mohammad Niknafs replaces Arash Rezavand.",Mohammad Zobeir Niknafs Substitu,7525,0.0,0.0,0.0,0.0,0.0,0.0,1.0,286278.0,2024-11-28 06:09:52
