seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12915,2024,AUS.W.1,21991,23468,15,0,4,5,1,0,0,0,0,0,3,0,0,0,14,2025-02-10 05:41:38
12915,2024,AUS.W.1,21133,109134,14,0,3,16,0,0,0,3,0,9,27,3,0,0,17,2025-02-10 05:41:40
12915,2024,AUS.W.1,20288,158675,13,1,4,5,0,0,0,1,0,10,23,6,0,0,17,2025-02-10 05:41:38
12915,2024,AUS.W.1,20280,158686,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2025-02-10 05:41:38
12915,2024,AUS.W.1,20281,158688,13,0,4,31,0,0,0,1,0,19,46,7,0,0,18,2025-02-10 05:41:37
12915,2024,AUS.W.1,20282,158695,12,0,0,0,0,0,0,0,0,0,0,0,0,37,19,2025-02-10 05:41:39
12915,2024,AUS.W.1,20285,172518,6,0,0,0,0,0,0,0,0,0,0,0,0,15,9,2025-02-10 05:41:40
12915,2024,AUS.W.1,20280,175238,13,0,6,5,0,0,0,0,0,4,5,0,0,0,10,2025-02-10 05:41:38
12915,2024,AUS.W.1,20284,213801,15,0,5,5,1,0,0,0,0,2,5,2,0,0,16,2025-02-10 05:41:39
12915,2024,AUS.W.1,20285,223046,15,0,11,4,2,0,0,0,0,2,10,0,0,0,21,2025-02-10 05:41:40
12915,2024,AUS.W.1,20286,226437,2,2,0,2,0,0,0,0,0,0,1,0,0,0,1,2025-02-10 05:41:37
12915,2024,AUS.W.1,21666,236711,14,0,8,18,2,0,0,2,0,19,45,7,0,0,25,2025-02-10 05:41:41
12915,2024,AUS.W.1,20282,243227,11,1,8,12,1,0,0,2,0,2,21,1,0,0,20,2025-02-10 05:41:39
12915,2024,AUS.W.1,20280,249292,16,0,6,8,1,0,0,0,0,0,2,0,0,0,15,2025-02-10 05:41:38
12915,2024,AUS.W.1,20283,259618,15,0,10,10,2,0,0,2,0,2,10,1,0,0,31,2025-02-10 05:41:40
12915,2024,AUS.W.1,20284,259619,14,0,11,27,1,0,0,2,0,5,16,1,0,0,16,2025-02-10 05:41:39
12915,2024,AUS.W.1,20284,259620,12,1,5,6,1,0,0,0,0,18,44,7,0,0,13,2025-02-10 05:41:39
12915,2024,AUS.W.1,20282,259636,12,1,13,13,1,0,0,0,0,2,4,0,0,0,15,2025-02-10 05:41:39
12915,2024,AUS.W.1,20285,259866,15,2,8,15,0,0,0,1,0,8,20,2,0,0,16,2025-02-10 05:41:40
12915,2024,AUS.W.1,20280,261759,16,1,17,10,0,0,0,3,0,11,38,5,0,0,12,2025-02-10 05:41:38
12915,2024,AUS.W.1,20287,264398,12,0,7,7,0,0,0,0,0,10,27,3,0,0,24,2025-02-10 05:41:39
12915,2024,AUS.W.1,20288,264968,14,0,8,4,0,0,0,0,0,2,10,1,0,0,18,2025-02-10 05:41:38
12915,2024,AUS.W.1,21133,286885,14,3,5,6,2,0,0,2,0,6,22,2,0,0,9,2025-02-10 05:41:40
12915,2024,AUS.W.1,20280,288988,15,5,10,3,1,0,0,1,0,2,5,0,0,0,10,2025-02-10 05:41:38
12915,2024,AUS.W.1,20286,292463,15,0,1,2,1,0,0,0,0,0,0,0,0,58,19,2025-02-10 05:41:37
12915,2024,AUS.W.1,21133,292544,15,2,9,7,2,0,0,1,0,13,35,2,0,0,16,2025-02-10 05:41:40
12915,2024,AUS.W.1,20283,292977,14,6,10,6,0,0,0,0,0,2,4,1,0,0,19,2025-02-10 05:41:40
12915,2024,AUS.W.1,21133,293126,15,0,15,15,1,0,0,2,0,10,30,2,0,0,17,2025-02-10 05:41:40
12915,2024,AUS.W.1,21991,293181,5,0,4,5,1,0,0,0,0,0,2,0,0,0,7,2025-01-14 05:29:11
12915,2024,AUS.W.1,20284,293183,15,0,20,15,1,0,0,3,0,9,19,2,0,0,15,2025-02-10 05:41:39
12915,2024,AUS.W.1,21666,293279,15,3,4,2,0,0,0,2,0,3,20,2,0,0,25,2025-02-10 05:41:41
12915,2024,AUS.W.1,20282,293935,13,1,6,6,0,0,0,2,0,11,37,3,0,0,21,2025-02-10 05:41:39
12915,2024,AUS.W.1,20286,294263,15,0,8,9,0,0,1,2,0,1,9,1,0,0,16,2025-02-10 05:41:37
12915,2024,AUS.W.1,21991,294761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:41:38
12915,2024,AUS.W.1,21666,295896,16,6,5,7,1,0,0,2,0,4,15,0,0,0,19,2025-02-10 05:41:41
12915,2024,AUS.W.1,20280,295964,15,2,24,32,3,0,0,4,0,9,21,4,0,0,13,2025-02-10 05:41:38
