seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12743,2024,AUT.1,18794,4804,16,0,11,8,3,0,2,0,0,4,13,1,0,0,21,2025-02-10 05:47:09
12743,2024,AUT.1,4411,20770,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:47:06
12743,2024,AUT.1,519,37442,8,5,3,5,0,0,0,2,0,0,6,0,0,0,4,2025-02-09 05:49:46
12743,2024,AUT.1,4411,37442,8,5,3,5,0,0,0,2,0,0,6,0,0,0,4,2025-02-10 05:47:06
12743,2024,AUT.1,13294,74694,7,6,2,0,0,0,0,0,0,0,0,0,0,0,4,2025-02-10 05:47:09
12743,2024,AUT.1,4411,95290,4,3,0,1,0,0,0,0,0,1,1,0,0,0,5,2025-02-10 05:47:06
12743,2024,AUT.1,21846,99587,12,3,12,3,2,1,0,0,0,0,4,0,0,0,8,2025-02-10 05:47:06
12743,2024,AUT.1,13294,120196,11,10,1,5,0,0,0,3,0,2,8,1,0,0,6,2025-02-10 05:47:09
12743,2024,AUT.1,13294,134018,8,4,7,2,0,1,0,0,0,5,9,2,0,0,2,2025-02-10 05:47:09
12743,2024,AUT.1,519,136963,13,2,7,10,5,0,0,2,0,10,41,2,0,0,5,2025-02-10 05:47:07
12743,2024,AUT.1,4411,141449,15,2,8,13,1,0,0,4,0,3,9,2,0,0,20,2025-02-10 05:47:06
12743,2024,AUT.1,1382,142977,16,0,8,13,4,0,0,0,0,1,3,0,0,0,13,2025-02-10 05:47:05
12743,2024,AUT.1,1382,146647,8,7,9,1,2,0,0,0,0,0,0,0,0,0,2,2025-02-10 05:47:05
12743,2024,AUT.1,4405,147261,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,2025-02-10 05:47:07
12743,2024,AUT.1,20966,149296,5,0,0,1,0,0,0,0,0,0,0,0,0,11,8,2025-02-10 05:47:08
12743,2024,AUT.1,4411,150652,13,0,14,14,0,0,0,3,0,12,24,3,0,0,16,2025-02-10 05:47:06
12743,2024,AUT.1,6907,152366,16,3,11,10,3,0,0,0,0,3,9,2,0,0,17,2025-02-10 05:47:09
12743,2024,AUT.1,4411,154326,16,0,14,12,3,0,0,0,0,2,8,1,0,0,24,2025-02-10 05:47:06
12743,2024,AUT.1,21540,156565,17,4,0,0,4,0,1,0,0,1,1,0,0,0,12,2024-07-13 02:58:26
12743,2024,AUT.1,20966,156639,16,5,13,11,3,0,0,3,0,6,15,1,0,0,26,2025-02-10 05:47:08
12743,2024,AUT.1,18794,157479,8,1,8,8,1,0,0,0,0,1,4,0,0,0,4,2025-02-10 05:47:09
12743,2024,AUT.1,21846,157503,15,0,12,5,2,2,0,0,0,1,5,1,0,0,24,2025-02-10 05:47:06
12743,2024,AUT.1,4405,159929,15,0,1,0,0,0,0,0,0,0,1,0,0,40,24,2025-02-10 05:47:07
12743,2024,AUT.1,2790,161825,8,0,0,2,0,0,0,0,0,0,0,0,0,16,11,2025-02-10 05:47:07
12743,2024,AUT.1,1382,161833,17,0,0,2,0,0,0,0,0,0,0,0,0,56,16,2025-02-10 05:47:05
12743,2024,AUT.1,3746,162238,8,7,2,1,0,0,0,1,0,0,0,0,0,0,2,2025-02-10 05:47:08
12743,2024,AUT.1,4411,167395,11,1,0,2,0,0,0,0,0,0,0,0,0,16,16,2025-01-13 05:30:37
12743,2024,AUT.1,21950,169936,3,1,3,1,0,0,0,0,0,0,0,0,0,0,4,2025-02-10 05:47:06
12743,2024,AUT.1,4411,177017,13,2,21,10,3,1,0,1,0,1,4,0,0,0,19,2025-02-10 05:47:06
12743,2024,AUT.1,519,178250,15,3,5,18,1,0,0,3,0,4,11,2,0,0,14,2025-02-10 05:47:07
12743,2024,AUT.1,21950,178861,14,9,6,12,0,0,0,1,0,3,8,1,0,0,10,2025-02-10 05:47:06
12743,2024,AUT.1,13294,179601,17,0,21,8,2,0,0,0,0,5,15,2,0,0,20,2025-02-10 05:47:09
12743,2024,AUT.1,18794,180549,11,7,6,1,1,0,0,0,0,0,2,0,0,0,13,2025-02-10 05:47:09
12743,2024,AUT.1,6907,190314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:47:09
12743,2024,AUT.1,1382,192532,17,0,17,28,3,0,0,1,0,1,8,1,0,0,16,2025-02-10 05:47:05
12743,2024,AUT.1,21846,193223,14,3,13,11,2,1,1,1,0,4,15,2,0,0,21,2025-02-10 05:47:06
12743,2024,AUT.1,4411,193294,14,1,5,12,0,1,0,0,0,2,8,0,0,0,15,2025-02-10 05:47:06
12743,2024,AUT.1,6907,193901,14,1,10,25,2,0,0,1,0,6,12,2,0,0,12,2025-02-10 05:47:09
12743,2024,AUT.1,6907,194046,16,0,18,19,4,0,0,2,0,19,35,2,0,0,20,2025-02-10 05:47:09
12743,2024,AUT.1,21950,195069,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:47:06
12743,2024,AUT.1,13294,195079,16,0,19,16,4,0,0,1,0,4,15,2,0,0,20,2025-02-10 05:47:09
12743,2024,AUT.1,2790,195082,8,0,0,0,0,0,0,0,0,0,0,0,0,17,8,2025-02-10 05:47:07
12743,2024,AUT.1,519,198183,8,5,5,4,1,0,0,0,0,0,1,0,0,0,4,2025-01-13 05:30:37
12743,2024,AUT.1,21846,201382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-13 05:30:36
12743,2024,AUT.1,1382,205501,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-01-04 05:41:32
12743,2024,AUT.1,21540,207101,14,3,0,0,3,0,0,0,0,0,0,0,0,0,9,2024-07-13 02:58:26
12743,2024,AUT.1,4411,212150,16,0,18,3,3,0,0,1,0,1,6,0,0,0,20,2025-02-10 05:47:06
12743,2024,AUT.1,3746,212335,9,2,9,9,1,0,0,0,0,1,4,0,0,0,5,2025-02-10 05:47:08
12743,2024,AUT.1,3746,214012,11,2,15,16,3,0,0,3,0,3,9,0,0,0,12,2025-02-10 05:47:08
12743,2024,AUT.1,1382,214593,16,6,7,10,1,0,0,1,0,10,30,4,0,0,10,2025-02-10 05:47:05
12743,2024,AUT.1,21846,214594,15,3,21,4,6,0,1,2,0,1,6,1,0,0,19,2025-02-10 05:47:06
