seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12643,2024,BEL.1,4689,24715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:54:06
12643,2024,BEL.1,17544,43199,8,8,1,3,0,0,0,0,0,2,4,0,0,0,1,2025-02-10 05:41:52
12643,2024,BEL.1,606,69600,11,0,0,3,4,0,0,0,0,0,0,0,0,42,20,2025-02-06 05:40:17
12643,2024,BEL.1,938,77072,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-17 08:53:43
12643,2024,BEL.1,991,93131,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-02-10 05:41:53
12643,2024,BEL.1,3611,99205,16,9,10,6,2,0,0,0,0,3,11,2,0,0,10,2025-02-10 05:41:54
12643,2024,BEL.1,570,99829,25,0,1,3,2,0,0,0,0,0,0,0,0,61,28,2025-02-10 05:41:53
12643,2024,BEL.1,441,111177,17,1,15,7,4,1,0,2,0,1,9,0,0,0,14,2025-01-31 14:46:10
12643,2024,BEL.1,17544,111306,21,0,10,8,5,0,0,2,0,6,18,3,0,0,23,2025-02-10 05:41:52
12643,2024,BEL.1,17544,116893,23,0,11,12,1,0,0,5,0,17,58,10,0,0,24,2025-02-10 05:41:52
12643,2024,BEL.1,606,122282,11,1,8,5,2,0,0,0,0,3,4,0,0,0,20,2025-02-10 05:41:55
12643,2024,BEL.1,441,125086,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2025-02-10 05:41:52
12643,2024,BEL.1,3610,127444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:41:53
12643,2024,BEL.1,7879,127880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:41:55
12643,2024,BEL.1,936,134941,3,0,1,0,1,0,0,0,0,0,0,0,0,7,11,2025-02-10 05:41:56
12643,2024,BEL.1,17544,138171,16,1,24,21,8,1,0,2,0,4,16,0,0,0,16,2025-02-10 05:41:52
12643,2024,BEL.1,5807,140195,24,0,0,5,2,0,0,0,0,0,0,0,0,59,20,2025-02-10 05:41:57
12643,2024,BEL.1,441,141623,21,0,23,11,2,0,0,2,0,4,11,1,0,0,19,2025-02-10 05:41:52
12643,2024,BEL.1,4689,143791,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:54:06
12643,2024,BEL.1,7879,144337,19,11,9,12,1,0,0,2,0,3,8,2,0,0,15,2025-02-10 05:41:55
12643,2024,BEL.1,4689,146276,27,16,0,0,3,0,0,0,0,1,1,1,0,0,18,2024-07-13 02:54:06
12643,2024,BEL.1,4689,151427,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:54:06
12643,2024,BEL.1,441,152749,22,0,0,4,0,0,0,0,0,1,1,0,0,82,21,2025-02-10 05:41:52
12643,2024,BEL.1,4689,153510,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2024-07-13 02:54:06
12643,2024,BEL.1,559,153620,4,0,0,0,0,0,0,0,0,0,0,0,0,12,1,2025-02-10 05:41:57
12643,2024,BEL.1,7879,157133,25,0,21,35,3,0,0,4,0,22,46,3,0,0,35,2025-02-10 05:41:55
12643,2024,BEL.1,5786,157188,16,10,6,6,0,0,0,0,0,4,15,0,0,0,13,2025-02-10 05:41:54
12643,2024,BEL.1,441,158066,5,3,6,2,1,0,0,1,0,2,6,1,0,0,4,2025-02-10 05:41:52
12643,2024,BEL.1,20981,164118,6,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2024-07-13 02:54:08
12643,2024,BEL.1,991,164435,12,0,14,17,0,0,0,1,0,3,7,1,0,0,28,2025-02-10 05:41:53
12643,2024,BEL.1,20981,164500,6,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2024-07-13 02:54:08
12643,2024,BEL.1,7879,165300,6,4,2,2,1,0,0,0,0,0,1,0,0,0,1,2025-02-10 05:41:55
12643,2024,BEL.1,991,165801,11,1,8,4,1,0,0,0,0,1,2,1,0,0,29,2025-02-10 05:41:53
12643,2024,BEL.1,7879,168050,4,0,1,0,0,0,0,0,0,0,1,0,0,0,8,2025-02-10 05:41:55
12643,2024,BEL.1,938,169214,21,4,11,20,2,0,0,2,0,12,25,6,0,0,23,2025-02-10 05:41:56
12643,2024,BEL.1,606,170784,4,4,2,3,0,0,0,0,0,0,0,0,0,0,2,2025-02-10 05:41:55
12643,2024,BEL.1,5807,173141,12,6,3,5,0,0,0,1,0,3,5,0,0,0,7,2025-02-10 05:41:57
12643,2024,BEL.1,17544,173150,13,6,8,5,0,0,0,0,0,2,8,0,0,0,10,2025-02-10 05:41:52
12643,2024,BEL.1,606,173504,3,2,0,1,1,0,0,0,0,0,1,0,0,0,2,2025-02-10 05:41:55
12643,2024,BEL.1,3610,177363,23,2,17,16,4,0,0,1,0,7,21,1,0,0,28,2025-02-10 05:41:53
12643,2024,BEL.1,5807,178056,11,6,9,10,2,0,0,2,0,2,11,0,0,0,3,2025-02-10 05:41:57
12643,2024,BEL.1,3611,178363,24,0,0,1,1,0,0,0,0,0,0,0,0,107,28,2025-02-10 05:41:54
12643,2024,BEL.1,936,178364,24,0,15,10,2,0,0,0,0,4,14,0,0,0,46,2025-02-10 05:41:56
12643,2024,BEL.1,5579,178857,21,2,26,30,7,0,0,3,0,1,12,0,0,0,16,2025-02-10 05:41:55
12643,2024,BEL.1,441,179985,11,6,6,4,0,0,0,2,0,1,4,0,0,0,4,2025-02-10 05:41:52
12643,2024,BEL.1,5579,180547,24,6,17,16,4,0,1,1,0,3,26,1,0,0,15,2025-02-10 05:41:55
