seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12625,2024,DEN.1,607,12577,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2024-09-24 04:54:34
12625,2024,DEN.1,575,33435,14,0,7,8,1,0,0,1,0,1,8,0,0,0,19,2025-01-01 05:39:41
12625,2024,DEN.1,21933,87487,26,7,0,0,5,0,0,0,0,0,0,0,0,0,30,2024-07-13 02:45:58
12625,2024,DEN.1,7853,99920,17,0,0,1,0,0,0,0,0,0,0,0,0,43,17,2025-01-01 05:39:40
12625,2024,DEN.1,7860,105216,3,0,2,0,0,0,0,0,0,0,0,0,0,0,5,2025-01-01 05:39:42
12625,2024,DEN.1,7860,106073,11,3,2,3,1,0,0,0,0,0,7,0,0,0,11,2025-01-01 05:39:42
12625,2024,DEN.1,12498,107063,15,9,7,0,0,0,0,2,0,5,8,0,0,0,12,2025-01-01 05:39:44
12625,2024,DEN.1,11550,108321,10,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2024-07-13 02:45:57
12625,2024,DEN.1,572,109962,15,2,14,11,4,0,0,1,0,1,9,0,0,0,14,2025-01-01 05:39:42
12625,2024,DEN.1,7853,118411,17,0,23,19,1,0,0,0,0,18,34,9,0,0,14,2025-01-01 05:39:40
12625,2024,DEN.1,3101,129916,12,0,6,3,2,0,0,0,0,0,3,0,0,0,18,2025-01-01 05:39:42
12625,2024,DEN.1,3132,131741,11,11,0,3,0,0,0,0,0,0,1,0,0,0,3,2025-01-01 05:39:43
12625,2024,DEN.1,7853,133567,12,1,13,13,1,0,0,0,0,1,4,1,0,0,9,2025-01-01 05:39:40
12625,2024,DEN.1,12498,134000,5,3,1,1,0,0,0,0,0,0,1,0,0,0,5,2025-01-01 05:39:44
12625,2024,DEN.1,3101,134257,4,4,0,2,0,0,0,0,0,0,0,0,0,0,1,2025-01-01 05:39:42
12625,2024,DEN.1,12498,137404,16,10,11,5,0,0,0,0,0,3,14,1,0,0,13,2025-01-01 05:39:44
12625,2024,DEN.1,7860,142329,10,7,10,10,3,0,0,0,0,0,1,0,0,0,4,2025-01-01 05:39:42
12625,2024,DEN.1,3101,145645,17,0,0,1,0,0,0,0,0,0,0,0,0,33,29,2025-01-01 05:39:42
12625,2024,DEN.1,3101,146803,15,0,11,17,6,0,0,2,0,10,20,3,0,0,21,2025-01-01 05:39:42
12625,2024,DEN.1,11550,147001,24,5,0,0,3,0,0,0,0,0,0,0,0,0,30,2024-07-13 02:45:57
12625,2024,DEN.1,7853,150039,5,5,1,1,1,0,0,0,0,0,0,0,0,0,1,2025-01-01 05:39:40
12625,2024,DEN.1,607,150067,17,0,0,6,0,0,0,0,0,0,0,0,0,56,21,2025-01-01 05:39:43
12625,2024,DEN.1,909,151053,6,2,7,4,0,1,0,1,0,2,5,0,0,0,6,2025-01-01 05:39:41
12625,2024,DEN.1,11550,151443,31,4,0,0,2,0,0,0,0,7,7,7,0,0,33,2024-07-13 02:45:57
12625,2024,DEN.1,909,151757,12,2,27,16,5,0,0,2,0,5,11,2,0,0,11,2025-01-01 05:39:41
