seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12722,2024,ESP.2,87,3141,25,2,15,39,4,0,0,8,0,30,72,10,0,0,23,2025-02-10 05:42:02
12722,2024,ESP.2,1538,3731,26,3,16,61,3,0,0,6,0,13,27,4,0,0,21,2025-02-10 05:42:01
12722,2024,ESP.2,6832,22315,20,7,12,15,2,0,0,1,0,3,9,2,0,0,13,2025-02-10 05:41:58
12722,2024,ESP.2,9322,24278,32,0,1,2,3,0,1,0,3,1,1,0,357,90,41,2024-07-13 02:50:40
12722,2024,ESP.2,92,40202,19,3,5,18,1,0,0,4,0,6,18,1,0,0,17,2025-02-10 05:42:03
12722,2024,ESP.2,5413,42506,21,15,16,11,4,0,0,0,0,4,12,1,0,0,10,2025-02-10 05:42:01
12722,2024,ESP.2,3788,46803,21,7,18,0,5,0,0,3,0,0,7,0,0,0,12,2025-02-10 05:42:03
12722,2024,ESP.2,90,55243,9,9,2,1,0,0,0,0,0,0,1,0,0,0,3,2025-02-05 05:36:30
12722,2024,ESP.2,12587,55246,31,2,29,9,6,1,1,1,2,6,13,4,0,18,33,2024-07-13 02:50:37
12722,2024,ESP.2,3751,57149,18,5,16,7,3,0,0,0,0,16,35,4,0,0,13,2025-02-10 05:42:00
12722,2024,ESP.2,3751,74630,15,10,10,14,2,0,0,2,0,3,14,1,0,0,4,2025-02-10 05:42:00
12722,2024,ESP.2,95,75433,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-07-13 02:50:39
12722,2024,ESP.2,2737,76884,3,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2025-02-10 05:41:57
12722,2024,ESP.2,87,77935,14,2,12,15,2,1,1,1,0,3,7,0,0,0,13,2025-02-10 05:42:02
12722,2024,ESP.2,9322,82074,4,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2024-07-13 02:50:40
12722,2024,ESP.2,5419,84064,14,2,11,3,0,0,0,0,0,3,5,0,0,0,17,2025-02-10 05:42:00
12722,2024,ESP.2,1538,87897,26,0,0,4,2,0,0,0,0,0,0,0,0,68,27,2025-02-10 05:42:01
12722,2024,ESP.2,3752,87963,24,6,26,18,3,1,0,0,0,5,11,0,0,0,21,2025-02-10 05:42:00
12722,2024,ESP.2,6832,97026,10,10,8,1,1,0,0,0,0,0,2,0,0,0,1,2025-02-10 05:41:58
12722,2024,ESP.2,2737,101307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:41:57
12722,2024,ESP.2,95,102978,12,5,2,3,0,0,0,0,0,4,18,1,0,0,3,2024-07-13 02:50:39
12722,2024,ESP.2,3752,103563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:42:00
12722,2024,ESP.2,2737,103897,6,0,7,2,1,0,0,0,0,0,2,0,0,0,4,2025-02-10 05:41:57
12722,2024,ESP.2,8447,105756,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:41:59
12722,2024,ESP.2,3788,106238,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-02-10 05:42:03
12722,2024,ESP.2,8448,106746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:42:02
12722,2024,ESP.2,3751,108107,23,1,46,58,6,1,0,5,0,10,34,4,0,0,16,2025-02-10 05:42:00
