seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12694,2024,FRA.1,6997,10767,6,2,11,1,0,0,0,0,0,0,3,0,0,2,5,2025-02-10 05:41:11
12694,2024,FRA.1,3243,14775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:41:14
12694,2024,FRA.1,179,30302,15,3,13,15,1,0,0,2,2,0,3,0,0,2,9,2025-02-10 05:41:15
12694,2024,FRA.1,174,38721,17,2,33,21,6,1,0,5,2,5,18,2,0,4,16,2025-02-10 05:41:10
12694,2024,FRA.1,177,38721,31,5,44,45,3,0,0,4,3,6,27,1,0,3,42,2024-07-13 02:49:42
12694,2024,FRA.1,179,77072,18,0,18,8,2,0,0,0,0,1,6,1,0,14,18,2025-02-10 05:41:15
12694,2024,FRA.1,166,85400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:41:11
12694,2024,FRA.1,169,89018,16,0,0,1,0,0,0,0,0,0,0,0,138,29,21,2025-02-10 05:41:14
12694,2024,FRA.1,175,93641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:41:11
12694,2024,FRA.1,169,97867,13,4,17,11,4,0,0,0,0,3,11,0,0,0,9,2025-02-10 05:41:14
12694,2024,FRA.1,177,98965,26,1,23,4,2,0,0,0,1,4,10,2,0,20,45,2024-07-13 02:49:42
12694,2024,FRA.1,177,104028,34,0,1,8,3,0,0,0,2,0,0,0,430,131,57,2024-07-13 02:49:42
12694,2024,FRA.1,3236,104030,14,5,7,20,2,0,0,0,0,4,12,3,0,2,19,2025-02-10 05:41:11
12694,2024,FRA.1,3171,118091,28,0,29,29,7,0,0,0,4,5,11,0,0,10,40,2024-07-13 02:49:44
12694,2024,FRA.1,176,118279,17,14,7,16,2,0,0,2,0,10,25,2,0,1,8,2025-02-10 05:41:12
12694,2024,FRA.1,178,120496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:41:13
12694,2024,FRA.1,166,123683,18,0,26,31,9,0,0,1,4,4,14,0,0,3,21,2025-02-10 05:41:11
12694,2024,FRA.1,7868,127828,10,3,4,3,2,0,0,0,0,0,0,0,0,3,12,2025-02-10 05:41:10
12694,2024,FRA.1,2502,130165,15,2,13,9,5,0,0,0,2,0,5,0,0,5,12,2025-02-10 05:41:13
12694,2024,FRA.1,3236,131742,4,0,0,0,0,0,0,0,1,0,0,0,52,15,4,2025-02-10 05:41:11
12694,2024,FRA.1,165,131743,6,0,0,0,0,0,0,0,0,0,0,0,74,17,7,2025-02-10 05:41:13
12694,2024,FRA.1,167,131743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-02 05:40:50
12694,2024,FRA.1,3171,131748,21,4,30,16,5,0,0,0,1,3,14,1,0,3,28,2024-07-13 02:49:44
12694,2024,FRA.1,167,131752,18,3,22,19,2,0,0,2,3,21,34,6,0,1,14,2025-02-10 05:41:12
12694,2024,FRA.1,6997,132233,20,0,1,2,2,0,0,0,1,0,0,0,213,49,34,2025-02-10 05:41:11
12694,2024,FRA.1,274,132241,19,10,13,22,2,0,0,1,1,3,25,1,0,1,21,2025-02-10 05:41:12
12694,2024,FRA.1,167,133319,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-01-18 05:36:53
12694,2024,FRA.1,3236,133319,5,3,8,2,0,0,0,0,0,0,1,0,0,3,1,2025-02-10 05:41:11
12694,2024,FRA.1,167,135743,16,1,9,4,0,0,0,0,3,1,1,0,0,8,20,2025-02-10 05:41:12
12694,2024,FRA.1,166,136688,19,9,16,15,1,0,0,2,4,6,23,0,0,1,11,2025-02-10 05:41:11
12694,2024,FRA.1,273,137397,18,5,16,11,5,0,1,0,1,4,9,0,0,12,16,2024-07-13 02:49:42
12694,2024,FRA.1,7868,137403,19,2,6,20,1,0,0,2,7,1,8,1,0,2,22,2025-02-10 05:41:10
12694,2024,FRA.1,274,137830,7,0,3,5,2,0,0,0,1,0,1,0,0,4,8,2025-02-10 05:41:12
12694,2024,FRA.1,3236,138564,18,3,14,17,2,0,0,0,5,2,8,0,0,2,29,2025-02-10 05:41:11
12694,2024,FRA.1,274,138571,1,0,0,2,0,0,0,0,0,0,2,0,0,0,2,2025-02-10 05:41:12
12694,2024,FRA.1,179,141188,18,4,22,17,2,0,0,2,3,14,33,4,0,3,11,2025-02-10 05:41:15
12694,2024,FRA.1,175,141438,2,0,0,0,0,0,0,0,0,0,0,0,16,2,0,2025-02-10 05:41:11
12694,2024,FRA.1,167,145190,12,0,14,13,4,0,0,1,1,6,16,2,0,5,16,2025-02-10 05:41:12
