seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12821,2024,FRA.W.1,19256,158816,11,1,5,6,1,0,0,0,0,8,16,2,0,0,2,2025-02-10 05:44:58
12821,2024,FRA.W.1,21635,158818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:44:58
12821,2024,FRA.W.1,19256,158820,10,6,5,2,1,0,0,1,0,8,16,2,0,0,0,2025-02-10 05:44:58
12821,2024,FRA.W.1,21640,158829,14,1,11,4,1,0,0,5,0,14,24,4,0,0,5,2025-02-10 05:44:59
12821,2024,FRA.W.1,21637,176015,14,0,10,10,3,0,0,2,0,2,9,1,0,0,19,2025-02-10 05:44:57
12821,2024,FRA.W.1,19256,188014,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2025-02-10 05:44:58
12821,2024,FRA.W.1,19256,188067,8,8,1,0,0,0,0,0,0,4,10,1,0,0,0,2025-02-10 05:44:58
12821,2024,FRA.W.1,21963,209173,11,2,11,15,1,0,0,1,0,7,17,1,0,0,28,2025-02-10 05:45:00
12821,2024,FRA.W.1,19256,209687,13,1,2,7,1,0,0,1,0,8,18,4,0,0,4,2025-02-10 05:44:58
12821,2024,FRA.W.1,21643,210367,9,3,6,7,0,0,0,0,0,2,5,0,0,0,14,2025-02-10 05:45:00
12821,2024,FRA.W.1,22328,211746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-07 05:41:46
12821,2024,FRA.W.1,21638,213939,14,0,6,2,0,0,0,0,0,0,4,0,0,0,22,2025-02-10 05:44:58
12821,2024,FRA.W.1,21638,213954,12,0,9,8,1,0,0,1,0,11,23,6,0,0,19,2025-02-10 05:44:58
12821,2024,FRA.W.1,19256,219116,10,6,0,4,0,0,0,0,0,5,14,5,0,0,1,2025-02-10 05:44:58
12821,2024,FRA.W.1,19256,219121,13,3,7,1,0,0,0,5,0,16,33,6,0,0,4,2025-02-10 05:44:58
12821,2024,FRA.W.1,19256,219775,14,5,4,3,1,0,0,3,0,3,8,0,0,0,4,2025-02-10 05:44:58
12821,2024,FRA.W.1,21637,219898,6,1,5,0,2,1,0,0,0,0,0,0,0,0,13,2025-01-21 05:30:40
