seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12747,2024,GER.1,137,3368,9,9,1,5,1,0,0,2,2,3,8,1,0,1,9,2025-02-10 05:40:57
12747,2024,GER.1,11420,3368,8,8,0,2,0,0,0,2,1,3,8,1,0,0,6,2025-02-03 14:48:10
12747,2024,GER.1,3841,47969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:40:54
12747,2024,GER.1,270,79941,20,0,1,0,0,0,0,0,1,0,0,0,203,58,22,2025-02-10 05:40:55
12747,2024,GER.1,132,84774,17,0,0,0,0,0,0,0,0,0,0,0,86,18,14,2025-02-10 05:40:53
12747,2024,GER.1,122,89497,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:49:34
12747,2024,GER.1,132,113733,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:40:53
12747,2024,GER.1,6418,117279,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2025-02-10 05:40:52
12747,2024,GER.1,11420,119620,19,0,0,0,0,0,0,0,1,0,0,0,255,63,28,2025-02-10 05:40:55
12747,2024,GER.1,125,120829,13,2,6,14,1,0,0,3,5,5,10,3,0,0,10,2025-02-10 05:40:53
12747,2024,GER.1,268,122273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:40:53
12747,2024,GER.1,125,122280,17,0,0,1,0,0,0,0,2,0,0,0,199,60,18,2025-02-10 05:40:53
12747,2024,GER.1,7884,122289,15,5,9,14,1,1,0,2,0,0,4,0,0,2,31,2025-02-10 05:40:54
12747,2024,GER.1,126,122292,3,0,0,0,0,0,0,0,2,0,0,0,24,5,7,2025-02-10 05:40:55
12747,2024,GER.1,125,122396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:40:53
12747,2024,GER.1,132,123465,19,13,7,7,3,0,0,2,3,6,15,1,0,0,10,2025-02-10 05:40:53
12747,2024,GER.1,125,128521,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-02-10 05:40:53
12747,2024,GER.1,124,132659,19,2,11,7,4,1,0,3,5,2,10,0,0,3,24,2025-02-10 05:40:53
12747,2024,GER.1,598,132973,15,1,8,5,5,0,0,0,2,1,1,1,0,8,14,2025-02-10 05:40:52
12747,2024,GER.1,2950,134103,20,0,15,26,4,0,0,2,3,10,27,5,0,1,20,2025-02-10 05:40:54
12747,2024,GER.1,131,134169,19,0,0,1,0,0,0,0,3,0,0,0,176,58,22,2025-02-10 05:40:52
12747,2024,GER.1,3812,136593,9,5,7,10,0,0,0,1,2,3,10,0,0,1,11,2024-07-13 02:49:39
12747,2024,GER.1,7911,138213,18,0,0,4,0,0,0,0,1,0,0,0,230,61,34,2025-02-10 05:40:55
12747,2024,GER.1,7911,139520,19,0,7,18,3,0,0,2,4,13,39,7,0,2,35,2025-02-10 05:40:55
12747,2024,GER.1,3841,140624,20,0,16,5,7,0,0,2,3,0,7,0,0,12,29,2025-02-10 05:40:54
12747,2024,GER.1,11420,141055,17,5,11,5,2,0,0,0,5,2,5,1,0,4,21,2025-02-10 05:40:55
12747,2024,GER.1,3812,141327,24,9,14,11,1,0,0,2,3,4,21,3,0,4,33,2024-07-13 02:49:39
12747,2024,GER.1,121,141429,6,6,0,3,0,0,0,0,0,1,4,1,0,0,6,2025-02-10 05:40:56
12747,2024,GER.1,132,142200,19,0,7,13,3,0,0,6,2,38,76,21,0,1,11,2025-02-10 05:40:53
12747,2024,GER.1,125,143020,16,3,8,9,1,0,0,2,2,3,5,2,0,1,7,2025-02-10 05:40:53
12747,2024,GER.1,2950,144620,15,2,21,7,3,0,0,1,4,2,8,0,0,12,15,2025-02-10 05:40:54
12747,2024,GER.1,598,146485,16,5,10,4,5,0,0,0,0,2,7,0,0,3,17,2025-02-10 05:40:52
12747,2024,GER.1,126,146804,13,9,5,5,2,0,0,1,1,4,11,1,0,1,10,2025-02-10 05:40:55
12747,2024,GER.1,6418,149276,21,0,0,1,0,0,0,0,2,0,0,0,241,70,43,2025-02-10 05:40:52
12747,2024,GER.1,2950,149297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:40:54
12747,2024,GER.1,122,149391,11,8,7,12,2,0,0,1,0,5,12,0,0,0,9,2024-07-13 02:49:34
12747,2024,GER.1,6418,149555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:40:52
12747,2024,GER.1,598,149558,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-02-10 05:40:52
12747,2024,GER.1,126,149570,15,8,11,5,3,0,0,0,2,0,4,0,0,1,11,2025-02-10 05:40:55
12747,2024,GER.1,138,149841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:40:56
12747,2024,GER.1,7884,149963,12,7,9,11,0,0,0,1,0,8,14,3,0,0,13,2025-02-10 05:40:54
12747,2024,GER.1,131,149981,21,0,19,19,2,0,0,6,7,4,17,2,0,5,24,2025-02-10 05:40:52
12747,2024,GER.1,121,150326,15,2,18,9,0,0,0,0,1,0,3,0,0,7,30,2025-02-10 05:40:56
12747,2024,GER.1,6418,151122,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-01-18 05:33:32
12747,2024,GER.1,122,151464,33,4,18,33,4,0,0,4,4,9,28,5,0,6,41,2024-07-13 02:49:34
12747,2024,GER.1,2950,154603,12,0,9,4,0,0,0,1,2,0,2,0,0,6,8,2025-02-10 05:40:54
12747,2024,GER.1,132,155532,9,5,3,1,0,0,0,1,0,1,3,0,0,1,4,2025-02-10 05:40:53
12747,2024,GER.1,598,155600,4,3,1,2,0,0,0,0,0,0,2,0,0,0,2,2025-02-10 05:40:52
12747,2024,GER.1,598,156416,5,0,0,0,0,0,0,0,1,0,0,0,47,12,12,2025-02-10 05:40:52
12747,2024,GER.1,125,156479,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,2025-02-10 05:40:53
12747,2024,GER.1,137,157560,14,7,7,13,1,0,0,0,2,7,20,2,0,0,14,2025-02-10 05:40:57
12747,2024,GER.1,132,157688,20,0,20,4,2,0,0,0,2,3,5,2,0,9,19,2025-02-10 05:40:53
12747,2024,GER.1,137,159139,20,0,14,22,5,1,0,5,3,10,28,3,0,0,35,2025-02-10 05:40:57
12747,2024,GER.1,124,159142,18,4,12,13,3,1,0,0,1,2,7,2,0,8,24,2025-02-10 05:40:53
12747,2024,GER.1,137,159150,21,0,3,14,3,0,0,7,2,19,50,6,0,1,31,2025-02-10 05:40:57
12747,2024,GER.1,598,159152,19,1,31,10,5,0,0,0,8,0,8,0,0,6,20,2025-02-10 05:40:52
12747,2024,GER.1,3812,159153,10,8,1,3,1,0,0,0,0,1,5,0,0,0,7,2024-07-13 02:49:39
12747,2024,GER.1,121,160021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:40:56
12747,2024,GER.1,137,162111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:40:57
12747,2024,GER.1,11420,162162,18,0,17,13,2,1,0,0,7,7,16,5,0,26,27,2025-02-10 05:40:55
12747,2024,GER.1,3841,162386,6,4,4,1,0,0,0,0,0,0,2,0,0,0,8,2025-02-10 05:40:54
12747,2024,GER.1,124,164171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-31 05:00:06
12747,2024,GER.1,598,165424,16,0,0,1,2,0,0,0,3,0,0,0,147,42,15,2025-02-10 05:40:52
12747,2024,GER.1,131,166396,19,0,8,17,4,1,0,4,4,10,33,2,0,3,22,2025-02-10 05:40:52
12747,2024,GER.1,122,167683,12,6,7,4,0,0,0,0,0,0,0,0,0,1,9,2024-07-13 02:49:34
12747,2024,GER.1,268,168318,19,3,10,22,1,0,0,2,6,7,24,6,0,0,19,2025-02-10 05:40:53
12747,2024,GER.1,138,169037,20,0,18,41,7,0,0,4,1,6,20,2,0,9,29,2025-02-10 05:40:56
12747,2024,GER.1,132,169189,17,9,16,6,6,0,0,1,1,3,7,1,0,0,11,2025-02-10 05:40:53
12747,2024,GER.1,121,169412,20,4,20,18,4,0,0,2,3,10,29,2,0,0,28,2025-02-10 05:40:56
12747,2024,GER.1,7884,169481,16,0,6,4,1,0,0,2,0,4,11,0,0,12,40,2025-02-10 05:40:54
12747,2024,GER.1,137,169753,20,4,6,13,1,0,0,0,3,0,0,0,0,8,28,2025-02-10 05:40:57
12747,2024,GER.1,126,170209,20,4,8,12,2,0,0,0,1,3,12,2,0,17,26,2025-02-10 05:40:55
12747,2024,GER.1,598,170604,16,6,11,6,0,0,0,0,2,0,7,0,0,0,5,2025-02-10 05:40:52
12747,2024,GER.1,7911,170636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:40:55
12747,2024,GER.1,126,171701,19,0,18,15,5,0,0,0,4,9,14,4,0,12,26,2025-02-10 05:40:55
12747,2024,GER.1,121,171967,13,1,11,10,3,0,0,0,2,0,4,0,0,8,26,2025-02-10 05:40:56
12747,2024,GER.1,138,172005,2,1,0,0,0,0,0,0,0,0,0,0,15,2,1,2025-02-10 05:40:56
12747,2024,GER.1,3812,172435,23,0,34,33,4,1,0,2,5,3,11,0,0,12,47,2024-07-13 02:49:39
12747,2024,GER.1,2950,172997,20,0,34,25,8,0,0,0,3,2,10,0,0,15,21,2025-02-10 05:40:54
12747,2024,GER.1,270,173741,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-28 15:04:20
12747,2024,GER.1,124,173907,18,5,8,6,2,0,0,0,2,5,14,0,0,5,23,2025-02-10 05:40:53
12747,2024,GER.1,121,174521,20,0,1,2,2,0,0,0,2,0,0,0,258,52,44,2025-02-10 05:40:56
12747,2024,GER.1,3812,174525,31,0,0,8,2,0,0,0,4,0,0,0,446,127,74,2024-07-13 02:49:39
12747,2024,GER.1,132,174550,15,8,8,6,1,0,0,1,1,7,19,3,0,2,6,2025-02-10 05:40:53
12747,2024,GER.1,131,174617,5,2,1,6,0,0,0,0,1,3,5,1,0,0,3,2025-02-10 05:40:52
12747,2024,GER.1,126,174618,20,0,11,3,0,0,0,1,1,6,18,2,0,8,31,2025-02-10 05:40:55
12747,2024,GER.1,268,175006,20,9,14,31,2,0,0,4,5,5,18,2,0,1,19,2025-02-10 05:40:53
12747,2024,GER.1,131,175069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:40:52
12747,2024,GER.1,2950,175905,18,16,5,2,3,0,0,1,0,0,1,0,0,1,3,2025-02-10 05:40:54
12747,2024,GER.1,132,176228,16,2,5,6,0,0,0,2,5,4,12,1,0,0,9,2025-02-10 05:40:53
12747,2024,GER.1,7911,177652,20,4,21,16,3,0,0,0,4,0,2,0,0,33,34,2025-02-10 05:40:55
12747,2024,GER.1,270,178071,20,0,29,12,2,0,0,5,3,7,23,0,0,2,22,2025-02-10 05:40:55
12747,2024,GER.1,124,178380,2,0,0,0,0,0,0,0,0,0,0,0,15,7,4,2025-02-10 05:40:53
12747,2024,GER.1,132,178980,14,7,11,2,0,0,0,2,1,11,30,4,0,0,9,2025-02-10 05:40:53
12747,2024,GER.1,126,179571,21,2,5,10,2,0,0,8,2,15,46,6,0,3,26,2025-02-10 05:40:55
12747,2024,GER.1,131,180998,16,2,25,13,6,0,0,1,0,4,18,2,0,6,14,2025-02-10 05:40:52
12747,2024,GER.1,11420,182245,12,10,3,10,1,0,0,0,1,1,6,0,0,2,0,2025-02-10 05:40:55
12747,2024,GER.1,122,182427,20,12,17,13,2,0,0,2,1,12,29,1,0,1,21,2024-07-13 02:49:34
12747,2024,GER.1,132,184012,19,9,5,5,0,0,0,3,1,11,34,3,0,0,4,2025-02-10 05:40:53
12747,2024,GER.1,6418,184075,21,0,12,18,3,0,0,0,4,3,12,1,0,20,43,2025-02-10 05:40:52
12747,2024,GER.1,137,184550,21,0,0,3,2,0,0,0,1,0,0,0,254,67,36,2025-02-10 05:40:57
