seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12880,2024,IND.1,18000,98237,19,5,10,16,2,0,0,0,0,17,44,9,0,0,18,2025-02-10 05:43:20
12880,2024,IND.1,18851,111682,19,5,18,9,0,0,0,1,0,20,44,11,0,0,18,2025-02-10 05:43:19
12880,2024,IND.1,18894,128086,17,2,27,21,3,1,0,2,0,10,34,5,0,0,17,2025-02-10 05:43:23
12880,2024,IND.1,20774,129654,19,1,25,5,4,0,0,1,0,7,16,2,0,0,13,2025-02-10 05:43:22
12880,2024,IND.1,18851,132398,14,5,15,12,4,0,0,3,0,4,24,2,0,0,16,2025-02-10 05:43:19
12880,2024,IND.1,8897,140293,14,2,8,5,4,0,0,1,0,1,8,0,0,0,18,2025-02-10 05:43:24
12880,2024,IND.1,17997,144861,17,2,9,23,3,0,0,6,0,3,16,0,0,0,24,2025-02-10 05:43:21
12880,2024,IND.1,17998,148126,19,6,8,12,1,0,0,5,0,18,53,9,0,0,19,2025-02-10 05:43:23
12880,2024,IND.1,17997,149515,13,3,6,5,2,0,1,0,0,1,5,1,0,0,16,2025-01-17 05:51:15
12880,2024,IND.1,20774,149777,15,6,10,20,4,0,0,5,0,6,22,2,0,0,7,2025-02-10 05:43:22
12880,2024,IND.1,20842,150292,13,1,12,6,5,0,1,0,0,0,1,0,0,0,23,2025-02-10 05:43:22
12880,2024,IND.1,20774,151922,17,7,11,12,1,0,0,3,0,11,31,2,0,0,11,2025-02-10 05:43:22
12880,2024,IND.1,17997,152732,16,3,11,6,0,0,0,1,0,17,37,11,0,0,26,2025-02-10 05:43:21
12880,2024,IND.1,18894,154022,10,7,3,6,1,0,0,1,0,3,19,1,0,0,2,2024-12-27 05:43:26
12880,2024,IND.1,8897,154892,14,1,6,5,1,0,0,0,0,1,12,0,0,0,20,2025-02-10 05:43:24
12880,2024,IND.1,17998,155725,13,8,7,1,0,1,0,0,0,0,1,0,0,0,7,2025-02-10 05:43:23
12880,2024,IND.1,18851,157709,18,2,23,53,2,0,0,1,0,4,15,2,0,0,17,2025-02-10 05:43:19
12880,2024,IND.1,18002,158082,9,4,5,12,2,0,0,0,0,4,12,0,0,0,5,2025-01-25 05:26:58
12880,2024,IND.1,18002,160127,17,0,7,6,4,0,1,2,0,3,11,1,0,0,18,2025-02-10 05:43:22
12880,2024,IND.1,18004,165183,16,5,13,15,0,0,0,0,0,15,39,5,0,0,12,2025-02-10 05:43:23
12880,2024,IND.1,18003,166491,16,1,24,10,4,1,0,1,0,2,21,0,0,0,18,2025-02-10 05:43:20
12880,2024,IND.1,18002,172874,17,1,18,28,4,0,0,3,0,5,17,2,0,0,17,2025-02-10 05:43:22
12880,2024,IND.1,18003,173659,17,6,17,15,1,0,0,2,0,19,52,9,0,0,14,2025-02-10 05:43:20
12880,2024,IND.1,18850,179992,15,4,9,11,2,0,0,0,0,10,30,5,0,0,17,2025-02-10 05:43:21
12880,2024,IND.1,18851,180751,18,4,12,38,4,0,0,4,0,17,45,6,0,0,20,2025-02-10 05:43:19
12880,2024,IND.1,18000,182349,17,1,10,9,4,0,0,0,0,4,12,1,0,0,24,2025-02-10 05:43:20
12880,2024,IND.1,18851,183947,13,4,10,21,2,0,0,4,0,14,23,5,0,0,18,2025-02-10 05:43:19
12880,2024,IND.1,20774,187777,19,3,7,5,3,0,0,2,0,13,32,8,0,0,7,2025-02-10 05:43:22
12880,2024,IND.1,8897,187890,15,1,18,30,2,0,0,1,0,9,23,3,0,0,15,2025-02-10 05:43:24
12880,2024,IND.1,18894,187947,15,4,4,10,0,0,0,2,0,16,37,4,0,0,11,2025-02-10 05:43:23
12880,2024,IND.1,20774,193008,19,12,3,6,2,0,0,4,0,10,19,4,0,0,7,2025-02-10 05:43:22
12880,2024,IND.1,8897,193396,4,0,1,12,2,0,0,0,0,6,15,0,0,0,5,2025-02-10 05:43:24
12880,2024,IND.1,18850,195219,13,7,4,4,2,0,0,0,0,1,7,1,0,0,7,2025-02-10 05:43:21
12880,2024,IND.1,17998,197133,9,3,8,4,0,0,0,0,0,8,18,3,0,0,11,2025-01-03 05:40:33
12880,2024,IND.1,20842,202265,16,0,27,33,8,1,0,1,0,11,28,2,0,0,27,2025-02-10 05:43:22
12880,2024,IND.1,18002,204838,17,0,13,22,1,0,0,1,0,21,46,9,0,0,19,2025-02-10 05:43:22
12880,2024,IND.1,18000,205635,19,12,14,13,2,0,0,0,0,12,23,3,0,0,16,2025-02-10 05:43:20
12880,2024,IND.1,18851,206033,17,6,9,2,1,1,0,0,0,0,0,0,0,0,15,2025-02-10 05:43:19
12880,2024,IND.1,18894,206384,14,3,11,17,5,0,0,3,0,18,30,7,0,0,21,2025-02-10 05:43:23
12880,2024,IND.1,18003,207732,15,6,23,24,0,0,0,2,0,11,35,3,0,0,9,2025-02-10 05:43:20
12880,2024,IND.1,17998,212550,17,1,14,20,6,0,0,5,0,8,27,3,0,0,25,2025-02-10 05:43:23
12880,2024,IND.1,18003,212997,18,0,10,8,5,0,0,0,0,1,6,0,0,0,23,2025-02-10 05:43:20
12880,2024,IND.1,17998,214486,16,1,17,11,3,3,0,4,0,3,5,1,0,0,24,2025-02-10 05:43:23
12880,2024,IND.1,17998,214497,19,1,7,9,4,0,1,1,0,8,20,4,0,0,32,2025-02-10 05:43:23
12880,2024,IND.1,18002,217646,3,3,0,0,0,0,0,0,0,1,4,0,0,0,0,2025-02-10 05:43:22
12880,2024,IND.1,8897,218380,17,7,11,12,3,0,0,2,0,8,34,0,0,0,17,2025-02-10 05:43:24
12880,2024,IND.1,18000,219170,17,7,9,9,2,0,0,0,0,1,5,0,0,0,14,2025-02-10 05:43:20
12880,2024,IND.1,20842,219311,6,1,5,1,3,0,0,0,0,0,0,0,0,0,8,2025-02-10 05:43:22
12880,2024,IND.1,17997,221009,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-02-10 05:43:21
12880,2024,IND.1,18004,222361,18,0,20,2,3,0,0,1,0,3,14,0,0,0,24,2025-02-10 05:43:23
12880,2024,IND.1,18002,223823,11,3,8,12,1,0,0,0,0,2,12,0,0,0,8,2025-02-10 05:43:22
