seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12826,2024,KSA.1,817,22774,18,0,9,15,2,0,0,3,0,39,82,16,0,0,14,2025-02-10 05:41:24
12826,2024,KSA.1,21966,41549,14,3,22,10,5,1,0,1,0,7,26,3,0,0,16,2025-02-10 05:41:24
12826,2024,KSA.1,2276,46858,16,0,7,4,1,0,0,5,0,34,67,14,0,0,18,2025-02-10 05:41:23
12826,2024,KSA.1,2276,76717,12,1,5,6,3,0,0,0,0,0,5,0,0,0,14,2025-02-10 05:41:23
12826,2024,KSA.1,21834,87043,3,0,0,0,1,0,0,0,0,0,0,0,0,11,5,2025-02-10 05:41:25
12826,2024,KSA.1,8363,98342,19,0,6,14,0,0,0,3,0,13,22,7,0,0,28,2025-02-10 05:41:21
12826,2024,KSA.1,793,113667,17,0,18,32,3,0,0,1,0,8,25,0,0,0,16,2025-02-10 05:41:26
12826,2024,KSA.1,22022,122260,18,0,13,16,1,0,0,2,0,30,64,10,0,0,12,2025-02-10 05:41:25
12826,2024,KSA.1,21827,123605,16,0,13,4,3,1,1,0,0,3,6,0,0,0,23,2025-02-10 05:41:22
12826,2024,KSA.1,13033,123988,2,0,3,0,1,0,0,0,0,0,0,0,0,0,3,2025-02-10 05:41:22
12826,2024,KSA.1,21835,129195,19,0,11,24,1,0,0,0,0,13,32,4,0,0,36,2025-02-10 05:41:27
12826,2024,KSA.1,22029,132709,15,3,7,5,1,0,0,1,0,13,34,5,0,0,19,2025-02-10 05:41:25
12826,2024,KSA.1,21834,133818,8,2,3,2,2,0,0,0,0,1,2,1,0,0,12,2025-02-10 05:41:25
12826,2024,KSA.1,22029,134205,15,0,14,14,5,0,0,3,0,7,16,2,0,0,25,2025-02-10 05:41:25
