seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12673,2024,NED.1,5291,4804,12,4,7,4,0,0,1,0,0,1,3,0,0,1,19,2025-02-10 05:41:16
12673,2024,NED.1,2727,67334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:53:19
12673,2024,NED.1,151,69579,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:41:20
12673,2024,NED.1,139,78836,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-08-31 04:53:11
12673,2024,NED.1,153,83494,14,6,8,20,3,0,0,2,0,7,25,2,0,0,9,2025-02-10 05:41:16
12673,2024,NED.1,139,83802,19,0,0,1,0,0,1,1,2,1,1,0,193,52,17,2025-02-10 05:41:15
12673,2024,NED.1,2727,84843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:53:19
12673,2024,NED.1,148,103485,16,5,8,4,2,0,0,5,1,3,14,1,0,2,17,2025-02-10 05:41:20
12673,2024,NED.1,155,105351,11,10,4,3,2,1,0,0,0,1,3,0,0,0,3,2025-02-10 05:41:20
12673,2024,NED.1,2727,121850,23,0,11,15,3,0,0,2,6,0,8,0,0,13,54,2024-07-13 02:53:19
12673,2024,NED.1,156,122636,20,13,34,11,5,1,0,0,0,7,20,2,0,1,13,2025-02-10 05:41:20
12673,2024,NED.1,147,122954,3,3,3,1,0,0,0,0,0,3,4,1,0,0,2,2025-02-10 05:41:19
12673,2024,NED.1,152,124932,16,8,24,12,2,0,0,0,2,13,22,4,0,0,13,2025-02-10 05:41:16
12673,2024,NED.1,152,125136,2,0,0,0,0,0,0,0,0,0,0,0,23,8,8,2025-02-10 05:41:16
12673,2024,NED.1,147,125165,11,10,1,2,0,0,0,0,0,1,2,0,0,2,2,2025-02-10 05:41:19
12673,2024,NED.1,155,125279,12,4,5,8,1,1,0,0,1,0,2,0,0,4,22,2025-02-10 05:41:20
12673,2024,NED.1,3708,126248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:41:18
12673,2024,NED.1,2565,127053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:41:19
12673,2024,NED.1,139,127262,18,5,6,4,3,0,0,4,8,1,7,0,0,6,10,2025-02-10 05:41:15
12673,2024,NED.1,148,127420,19,2,5,10,3,0,0,5,0,15,50,10,0,2,17,2025-02-10 05:41:20
