seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12827,2024,NED.W.1,20796,95226,14,0,5,9,1,0,0,2,7,5,21,1,0,4,10,2025-02-10 05:45:21
12827,2024,NED.W.1,20984,209166,15,0,7,14,0,0,0,3,1,2,6,1,0,1,18,2025-02-10 05:45:23
12827,2024,NED.W.1,21977,219955,14,0,14,8,1,0,0,4,13,21,54,5,0,0,22,2025-02-10 05:45:21
12827,2024,NED.W.1,20796,235656,6,5,0,1,0,0,0,1,2,3,5,0,0,0,3,2025-02-10 05:45:21
12827,2024,NED.W.1,20802,235660,2,1,2,0,0,0,0,0,1,0,3,0,0,0,0,2025-02-10 05:45:24
12827,2024,NED.W.1,20797,242307,16,4,3,12,0,0,0,1,7,20,42,3,0,0,24,2025-02-10 05:45:24
12827,2024,NED.W.1,20802,246055,9,9,1,1,0,0,0,1,0,0,3,0,0,0,1,2025-02-10 05:45:24
12827,2024,NED.W.1,20802,250645,11,0,4,8,0,0,0,1,1,6,14,3,0,4,3,2025-02-10 05:45:24
12827,2024,NED.W.1,20802,252364,15,0,5,7,0,0,0,7,3,21,41,7,0,0,6,2025-02-10 05:45:24
12827,2024,NED.W.1,20798,257446,14,0,0,1,0,0,0,0,0,0,0,0,79,43,28,2025-02-10 05:45:20
12827,2024,NED.W.1,20802,257550,15,0,0,3,0,0,1,0,0,1,1,0,56,28,6,2025-02-10 05:45:24
12827,2024,NED.W.1,20114,257565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:45:22
12827,2024,NED.W.1,21978,264732,13,0,10,7,0,0,0,1,2,2,3,0,0,0,14,2025-02-10 05:45:22
12827,2024,NED.W.1,20984,270057,14,0,9,11,4,0,0,0,7,13,23,9,0,0,18,2025-02-10 05:45:23
12827,2024,NED.W.1,20798,285104,14,0,13,5,3,0,1,2,3,8,14,0,0,0,23,2025-02-10 05:45:20
12827,2024,NED.W.1,20984,287380,15,0,26,12,4,0,0,2,4,25,50,13,0,0,17,2025-02-10 05:45:23
12827,2024,NED.W.1,20114,288976,7,0,2,1,0,0,0,0,1,0,0,0,44,28,8,2025-01-26 05:38:58
12827,2024,NED.W.1,20797,292684,15,2,0,5,0,0,0,1,0,0,2,0,0,3,23,2025-02-10 05:45:24
12827,2024,NED.W.1,20797,294245,14,4,8,6,1,0,0,0,1,1,3,0,0,3,17,2025-02-10 05:45:24
12827,2024,NED.W.1,20984,295646,15,0,0,1,0,0,1,0,1,1,1,0,85,48,18,2025-02-10 05:45:23
12827,2024,NED.W.1,20114,295877,12,0,0,9,0,0,0,0,0,2,7,0,0,6,12,2025-02-10 05:45:22
12827,2024,NED.W.1,20802,309080,15,0,16,27,1,0,0,5,9,15,40,6,0,1,6,2025-02-10 05:45:24
12827,2024,NED.W.1,20796,309843,7,6,2,1,0,0,0,0,1,5,8,3,0,0,2,2025-02-10 05:45:21
12827,2024,NED.W.1,20796,309844,13,0,6,18,0,0,0,1,4,4,11,0,0,3,9,2025-02-10 05:45:21
12827,2024,NED.W.1,20984,309845,8,0,4,6,4,0,0,2,1,0,2,0,0,2,8,2025-02-10 05:45:23
12827,2024,NED.W.1,21584,309849,14,0,0,3,0,0,0,1,0,0,0,0,134,65,32,2025-02-10 05:45:23
12827,2024,NED.W.1,21585,309850,4,2,1,1,1,0,0,0,1,0,1,0,0,0,5,2025-02-10 05:45:24
12827,2024,NED.W.1,20797,309854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:45:24
12827,2024,NED.W.1,20796,309855,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:45:21
