seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12860,2024,RSA.1,11913,22004,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2025-02-10 05:43:40
12860,2024,RSA.1,18615,66450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:43:44
12860,2024,RSA.1,7084,89834,5,1,0,2,0,0,0,0,0,0,0,0,0,11,2,2025-02-10 05:43:41
12860,2024,RSA.1,7079,92296,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-01-26 05:34:41
12860,2024,RSA.1,7079,92896,11,1,10,7,1,0,0,0,0,0,1,0,0,0,8,2025-02-10 05:43:39
12860,2024,RSA.1,7077,108527,9,4,9,8,1,0,0,0,0,0,2,0,0,0,2,2025-02-10 05:43:40
12860,2024,RSA.1,11913,111463,10,0,5,3,1,0,0,0,0,2,6,2,0,0,10,2025-02-10 05:43:40
12860,2024,RSA.1,7080,111946,5,1,6,5,0,0,0,0,0,7,12,2,0,0,2,2025-02-10 05:43:44
12860,2024,RSA.1,13317,120123,14,0,1,4,3,0,0,0,0,0,0,0,0,34,20,2025-02-10 05:43:42
12860,2024,RSA.1,7099,127303,12,1,13,9,0,0,0,2,0,1,5,0,0,0,6,2025-02-10 05:43:42
12860,2024,RSA.1,7100,129306,17,0,1,6,0,0,0,0,0,0,0,0,0,36,19,2025-02-10 05:43:40
12860,2024,RSA.1,7100,129365,12,3,10,8,1,0,0,0,0,0,1,0,0,0,7,2025-02-10 05:43:40
12860,2024,RSA.1,7080,138752,8,0,5,1,1,0,0,0,0,0,3,0,0,0,5,2025-02-10 05:43:44
12860,2024,RSA.1,7077,139425,15,0,6,6,2,0,0,0,0,1,4,1,0,0,16,2025-02-10 05:43:40
12860,2024,RSA.1,7100,151221,17,8,24,10,3,0,0,0,0,8,19,3,0,0,11,2025-02-10 05:43:40
12860,2024,RSA.1,7080,151866,7,3,6,4,2,0,0,0,0,4,9,0,0,0,3,2025-02-10 05:43:44
12860,2024,RSA.1,18616,151870,11,0,12,8,3,0,0,0,0,2,8,1,0,0,14,2025-02-10 05:43:43
12860,2024,RSA.1,18616,152579,2,2,3,0,0,0,0,0,0,0,0,0,0,0,2,2025-02-08 05:52:12
12860,2024,RSA.1,18825,152579,3,3,3,1,0,0,0,0,0,0,1,0,0,0,2,2025-02-10 05:43:43
12860,2024,RSA.1,7084,155179,10,0,10,4,2,0,0,0,0,1,2,1,0,0,5,2025-02-10 05:43:41
12860,2024,RSA.1,7084,157046,2,1,2,0,0,0,0,1,0,0,0,0,0,0,1,2025-02-10 05:43:41
12860,2024,RSA.1,7081,157394,4,2,3,5,0,0,0,0,0,2,5,0,0,0,2,2025-02-10 05:43:41
12860,2024,RSA.1,13317,164877,14,1,15,9,5,1,0,1,0,3,14,3,0,0,18,2025-02-10 05:43:42
