seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12724,2024,SCO.1,264,7331,9,2,5,4,3,0,0,0,0,3,8,2,0,0,9,2025-02-10 05:41:29
12724,2024,SCO.1,259,15327,29,3,30,7,11,0,0,1,1,4,15,0,0,0,46,2024-07-13 02:56:32
12724,2024,SCO.1,257,16264,6,0,0,0,0,0,0,0,0,0,0,0,0,9,5,2025-02-10 05:41:30
12724,2024,SCO.1,262,17617,23,0,0,3,1,0,0,0,0,0,0,0,0,57,30,2025-02-10 05:41:29
12724,2024,SCO.1,264,17902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10 05:41:29
12724,2024,SCO.1,263,26027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-04 05:41:05
12724,2024,SCO.1,250,29239,21,1,19,12,4,0,0,0,0,4,13,1,0,0,24,2025-02-10 05:41:31
12724,2024,SCO.1,259,38397,28,11,20,5,1,0,0,2,1,4,20,2,0,0,30,2024-07-13 02:56:32
12724,2024,SCO.1,256,40200,25,0,0,2,0,0,0,0,0,0,0,0,0,55,12,2025-02-10 05:41:28
12724,2024,SCO.1,261,40299,3,0,3,2,1,0,0,0,0,0,2,0,0,0,5,2025-02-10 05:41:28
12724,2024,SCO.1,259,42193,3,1,0,0,0,0,0,0,0,0,0,0,0,3,8,2024-07-13 02:56:32
12724,2024,SCO.1,263,43235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-20 05:04:53
12724,2024,SCO.1,261,46115,12,0,0,1,1,0,0,1,0,0,0,0,0,34,27,2025-02-10 05:41:28
12724,2024,SCO.1,267,82553,15,2,6,9,0,0,0,0,0,0,2,0,0,0,24,2025-01-04 05:41:09
12724,2024,SCO.1,256,82568,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2024-08-30 05:04:10
12724,2024,SCO.1,256,84049,23,1,8,16,2,0,0,1,0,7,26,6,0,0,12,2025-02-10 05:41:28
12724,2024,SCO.1,261,92717,3,2,2,3,0,0,0,0,0,0,0,0,0,0,3,2025-02-10 05:41:28
12724,2024,SCO.1,260,103404,22,6,19,15,2,0,0,1,0,8,17,3,0,0,27,2025-02-10 05:41:30
12724,2024,SCO.1,267,103469,20,4,3,10,2,0,0,1,0,4,12,0,0,0,34,2025-02-10 05:41:31
12724,2024,SCO.1,259,108365,33,9,17,29,3,0,0,0,0,5,12,3,0,0,40,2024-07-13 02:56:32
12724,2024,SCO.1,258,116662,16,4,12,17,0,0,0,1,0,2,24,2,0,0,12,2025-02-10 05:41:29
12724,2024,SCO.1,267,118996,6,2,1,7,0,0,0,0,0,1,1,0,0,0,6,2025-02-10 05:41:31
12724,2024,SCO.1,261,119083,14,10,7,9,1,0,0,0,0,6,13,2,0,0,6,2025-01-26 05:35:01
12724,2024,SCO.1,256,119088,20,2,13,18,3,0,0,6,0,2,9,0,0,0,5,2025-02-10 05:41:28
12724,2024,SCO.1,257,121550,13,6,9,9,1,0,0,1,0,1,8,1,0,0,4,2025-02-10 05:41:30
12724,2024,SCO.1,260,123113,19,3,20,13,3,0,0,1,0,11,37,4,0,0,26,2025-02-10 05:41:30
12724,2024,SCO.1,266,126345,10,3,2,6,1,0,0,0,0,1,3,1,0,0,10,2025-02-10 05:41:30
12724,2024,SCO.1,259,126421,24,13,9,27,1,0,0,1,5,9,21,1,0,0,22,2024-07-13 02:56:32
12724,2024,SCO.1,266,127035,22,2,14,16,3,2,0,2,0,5,23,1,0,0,32,2025-02-10 05:41:30
12724,2024,SCO.1,251,128631,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-02-10 05:41:31
12724,2024,SCO.1,250,133463,5,3,0,1,0,0,0,0,0,1,1,0,0,0,5,2025-02-10 05:41:31
12724,2024,SCO.1,256,133852,8,7,2,1,0,0,0,0,0,2,8,0,0,0,1,2025-02-01 14:44:20
12724,2024,SCO.1,262,135183,2,0,0,1,0,0,0,0,0,0,0,0,0,7,3,2025-02-10 05:41:29
12724,2024,SCO.1,259,137367,16,6,18,19,4,1,0,1,1,6,15,1,0,0,20,2024-07-13 02:56:32
12724,2024,SCO.1,263,138206,23,2,32,47,6,0,0,3,0,2,15,1,0,0,34,2025-02-10 05:41:28
12724,2024,SCO.1,262,138660,10,7,3,2,0,0,0,2,0,3,8,0,0,0,2,2025-01-11 05:40:16
12724,2024,SCO.1,258,139748,23,7,6,26,3,0,0,3,0,13,36,7,0,0,24,2025-02-10 05:41:29
12724,2024,SCO.1,264,140037,12,9,12,7,2,0,0,0,0,7,15,3,0,0,10,2025-02-10 05:41:29
12724,2024,SCO.1,267,140769,22,12,10,19,1,0,0,1,0,9,25,2,0,0,23,2025-02-10 05:41:31
12724,2024,SCO.1,257,141144,20,2,10,12,3,0,0,5,0,13,40,3,0,0,12,2025-02-10 05:41:30
12724,2024,SCO.1,256,141303,15,10,2,3,0,0,0,4,0,5,21,0,0,0,1,2025-02-10 05:41:28
