seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12827,716361,1,43902306,124,Marthe Munsterman (FC Utrecht) Throw In at 1',Marthe Munsterman Throw In,1,16,1',21978,0,0,1980-01-01,0.0,0.0,0.166,0.0,0.228,0.044,264732.0,Marthe Munsterman,2024-10-03 05:37:51
12827,716361,2,43902307,124,Yentl Van Goch (Excelsior) Throw In at 1',Yentl Van Goch Throw In,1,30,1',20799,0,0,1980-01-01,0.0,0.0,0.812,0.0,0.402,0.013,325879.0,Yentl Van Goch,2024-10-03 05:37:51
12827,716361,3,43902308,124,Yentl Van Goch (Excelsior) Throw In at 1',Yentl Van Goch Throw In,1,44,1',20799,0,0,1980-01-01,0.0,0.0,0.38,0.0,0.248,0.289,325879.0,Yentl Van Goch,2024-10-03 05:37:51
12827,716361,4,43902309,77,Gera Op Den Kelder (FC Utrecht) Save at 1',Gera Op Den Kelder Save,1,54,1',21978,0,0,1980-01-01,0.0,0.0,0.16,0.354,0.0,0.0,369851.0,Gera Op Den Kelder,2024-10-03 05:37:51
12827,716361,5,43902310,135,Sabrine Ellouzi (Excelsior) Shot Blocked at 1',Sabrine Ellouzi Shot Blocked,1,54,1',20799,0,0,1980-01-01,0.0,0.0,0.192,0.325,0.16,0.354,309914.0,Sabrine Ellouzi,2024-10-03 05:37:51
12827,716361,6,43902311,122,Kathelyn Noëlle Hendriks (Excelsior) Handball at 2',Kathelyn Noëlle Hendriks Handbal,1,62,2',20799,0,0,1980-01-01,0.0,0.0,0.252,0.174,0.0,0.0,309977.0,Kathelyn Noëlle Hendriks,2024-10-03 05:37:51
12827,716361,7,43902313,96,Nurija Van Schoonhoven (FC Utrecht) Free Kick at 2',Nurija Van Schoonhoven Free Kick,1,64,2',21978,0,0,1980-01-01,0.0,0.0,0.14,0.277,0.23,0.234,309942.0,Nurija Van Schoonhoven,2024-10-03 05:37:51
12827,716361,8,43902314,124,Lieke De With (Excelsior) Throw In at 2',Lieke De With Throw In,1,105,2',20799,0,0,1980-01-01,0.0,0.0,0.592,1.0,0.036,0.803,350364.0,Lieke De With,2024-10-03 05:37:51
12827,716361,9,43902315,68,Gera Op Den Kelder (FC Utrecht) Offside at 3',Gera Op Den Kelder Offside,1,121,3',21978,0,0,1980-01-01,0.0,0.0,0.828,0.77,0.896,0.824,369851.0,Gera Op Den Kelder,2024-10-03 05:37:51
12827,716361,10,43902316,96,Yara Helderman (Excelsior) Free Kick at 3',Yara Helderman Free Kick,1,135,3',20799,0,0,1980-01-01,0.0,0.0,0.542,0.272,0.436,0.585,325986.0,Yara Helderman,2024-10-03 05:37:51
12827,716361,11,43902317,68,Marthe Munsterman (FC Utrecht) Offside at 4',Marthe Munsterman Offside,1,188,4',21978,0,0,1980-01-01,0.0,0.0,0.92,0.787,0.304,0.467,264732.0,Marthe Munsterman,2024-10-03 05:37:51
12827,716361,12,43902318,96,Anouk Van Der Klooster (Excelsior) Free Kick at 4',Anouk Van Der Klooster Free Kick,1,214,4',20799,0,0,1980-01-01,0.0,0.0,0.182,0.411,0.168,0.362,392701.0,Anouk Van Der Klooster,2024-10-03 05:37:51
12827,716361,13,43902319,122,Yentl Van Goch (Excelsior) Handball at 4',Yentl Van Goch Handball,1,224,4',20799,0,0,1980-01-01,0.0,0.0,0.9,0.434,0.0,0.0,325879.0,Yentl Van Goch,2024-10-03 05:37:51
12827,716361,14,43902321,96,Dieke Van Straten (FC Utrecht) Free Kick at 4',Dieke Van Straten Free Kick,1,234,4',21978,0,0,1980-01-01,0.0,0.0,0.886,0.376,0.828,0.537,317223.0,Dieke Van Straten,2024-10-03 05:37:51
12827,716361,15,43902322,124,Amber Visscher (FC Utrecht) Throw In at 5',Amber Visscher Throw In,1,255,5',21978,0,0,1980-01-01,0.0,0.0,0.394,0.0,0.574,0.059,334880.0,Amber Visscher,2024-10-03 05:37:51
12827,716361,16,43902323,162,Marthe Munsterman (FC Utrecht) Blocked Pass at 6',Marthe Munsterman Blocked Pass,1,301,6',21978,0,0,1980-01-01,0.0,0.0,0.81,0.744,0.0,0.0,264732.0,Marthe Munsterman,2024-10-03 05:37:51
12827,716361,17,43902324,68,Amber Visscher (FC Utrecht) Offside at 6',Amber Visscher Offside,1,315,6',21978,0,0,1980-01-01,0.0,0.0,0.618,0.117,0.348,0.404,334880.0,Amber Visscher,2024-10-03 05:37:51
12827,716361,18,43902325,96,Anouk Van Der Klooster (Excelsior) Free Kick at 6',Anouk Van Der Klooster Free Kick,1,349,6',20799,0,0,1980-01-01,0.0,0.0,0.24,0.367,0.956,0.479,392701.0,Anouk Van Der Klooster,2024-10-03 05:37:51
12827,716361,19,43902326,77,Anouk Van Der Klooster (Excelsior) Save at 6',Anouk Van Der Klooster Save,1,356,6',20799,0,0,1980-01-01,0.0,0.0,0.086,0.421,0.0,0.0,392701.0,Anouk Van Der Klooster,2024-10-03 05:37:51
12827,716361,20,43902327,141,Nurija Van Schoonhoven (FC Utrecht) Assists Shot at 6',Nurija Van Schoonhoven Assists S,1,356,6',21978,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,309942.0,Nurija Van Schoonhoven,2024-10-03 05:37:51
12827,716361,21,43902328,106,Elisha Kruize (FC Utrecht) Shot On Target at 6',Elisha Kruize Shot On Target,1,356,6',21978,0,0,1980-01-01,0.0,0.0,0.264,0.262,0.024,0.5,347606.0,Elisha Kruize,2024-10-03 05:37:51
12827,716361,21,43902328,106,Elisha Kruize (FC Utrecht) Shot On Target at 6',Elisha Kruize Shot On Target,1,356,6',21978,0,0,1980-01-01,0.0,0.0,0.264,0.262,0.024,0.5,309942.0,Nurija Van Schoonhoven,2024-10-03 05:37:51
12827,716361,22,43902329,95,Nurija Van Schoonhoven (FC Utrecht) Corner Kick at 7',Nurija Van Schoonhoven Corner Ki,1,402,7',21978,0,0,1980-01-01,0.0,0.0,0.006,0.134,0.0,0.0,309942.0,Nurija Van Schoonhoven,2024-10-03 05:37:51
12827,716361,23,43902330,117,Dieke Van Straten (FC Utrecht) Shot Off Target at 8',Dieke Van Straten Shot Off Targe,1,442,8',21978,0,0,1980-01-01,0.0,0.0,0.4,0.461,0.0,0.684,317223.0,Dieke Van Straten,2024-10-03 05:37:51
12827,716361,24,43902331,124,Lieke De With (Excelsior) Throw In at 9',Lieke De With Throw In,1,513,9',20799,0,0,1980-01-01,0.0,0.0,0.802,0.0,0.65,0.881,350364.0,Lieke De With,2024-10-03 05:37:51
12827,716361,25,43902332,124,Lieke De With (Excelsior) Throw In at 9',Lieke De With Throw In,1,538,9',20799,0,0,1980-01-01,0.0,0.0,0.642,0.0,0.794,0.101,350364.0,Lieke De With,2024-10-03 05:37:51
