seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12602,723147,1,44418194,94,Leon Balogun (Rangers) Yellow Card at 24',Leon Balogun Yellow Card,1,1440,24',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,121550,Leon Balogun,2024-12-16 05:56:47
12602,723147,2,44418418,70,Nedim Bajrami (Rangers) Goal at 41',Nedim Bajrami Goal,1,2460,41',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,252559,Nedim Bajrami,2024-12-16 05:56:47
12602,723147,3,44418487,94,Jefte Vital Da Silva Dias (Rangers) Yellow Card at 44',Jefte Vital Da Silva Dias Yellow,1,2640,44',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,318136,Jefte Vital Da Silva Dias,2024-12-16 05:56:47
12602,723147,4,44418777,76,Liam Scales (Celtic) Substitution at 45',Liam Scales Substitution,2,2700,45',256,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,288959,Liam Scales,2024-12-16 05:56:47
12602,723147,4,44418777,76,Liam Scales (Celtic) Substitution at 45',Liam Scales Substitution,2,2700,45',256,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,228619,Auston Trusty,2024-12-16 05:56:47
12602,723147,5,44418949,70,Greg Taylor (Celtic) Goal at 56',Greg Taylor Goal,2,3360,56',256,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,119088,Greg Taylor,2024-12-16 05:56:47
12602,723147,6,44419017,70,Daizen Maeda (Celtic) Goal at 60',Daizen Maeda Goal,2,3600,60',256,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,286347,Daizen Maeda,2024-12-16 05:56:47
12602,723147,7,44419055,76,Ridvan Yilmaz (Rangers) Substitution at 61',Ridvan Yilmaz Substitution,2,3660,61',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,283691,Ridvan Yilmaz,2024-12-16 05:56:47
12602,723147,7,44419055,76,Ridvan Yilmaz (Rangers) Substitution at 61',Ridvan Yilmaz Substitution,2,3660,61',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,318136,Jefte Vital Da Silva Dias,2024-12-16 05:56:47
12602,723147,8,44419094,94,Kyogo Furuhashi (Celtic) Yellow Card at 67',Kyogo Furuhashi Yellow Card,2,4020,67',256,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,276904,Kyogo Furuhashi,2024-12-16 05:56:47
12602,723147,9,44419112,76,Dujon Sterling (Rangers) Substitution at 67',Dujon Sterling Substitution,2,4020,67',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,231170,Dujon Sterling,2024-12-16 05:56:47
12602,723147,9,44419112,76,Dujon Sterling (Rangers) Substitution at 67',Dujon Sterling Substitution,2,4020,67',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,121550,Leon Balogun,2024-12-16 05:56:47
